alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha092,0.6722849906203587,0.6546164225859612,0.41598509895053665,0.0017074177009422829,0.00007230909472749726,0.01822189187132931,-0.4237058292585339,-0.18021842714243813
alpha093,0.537275052723409,0.3585570457493808,1.1189899517078608,0.0029347364878713417,0.00009932658791829371,0.025030300155410017,-1.0256675081720168,-0.782180106055921
alpha094,0.7985965298606885,0.6418525906208483,1.0242667953915245,0.0034592388762313925,0.0001740234208058149,0.04385390204306536,-0.4433966112813484,-0.19990920916525262
alpha095,0.847259323578163,0.2999762027037733,0.8795552290392528,0.0012488908170159598,0.00006665620110897422,0.016797362679461504,-1.204052131793032,-0.9605647296769362
alpha096,1.1534219316382457,0.6895431360243374,0.41012586827652164,0.0010212444555958147,0.00007420234772394402,0.018698991626433892,-0.3717260223940735,-0.12823862027797772
alpha097,-0.11506175284731114,0.5303319780327235,-0.08556915339888385,0.0016361946571945272,-0.000011859481052312428,-0.002988589225182732,-0.6342520948794146,-0.3907646927633188
alpha098,-0.03750855109226993,0.457258310772511,-0.029512465328025674,0.0015205738237408198,-3.5928371094964693e-6,-0.0009053949515931103,-0.7825068163213632,-0.5390194142052674
alpha099,-0.4864222897026436,0.35592238351559646,-0.34783407527572785,0.0010695355439606956,-0.00003277241301529008,-0.0082586480798531,-1.0330425957333518,-0.789555193617256
alpha100,-0.03323531353087191,1.3718267755495899,-0.0087878014186871,0.0016094987187602148,-3.3696915202515335e-6,-0.0008491622631033865,0.31614326444456764,0.5596306665606634
alpha101,-0.6151575030943895,1.593034864197252,-0.323713593225843,0.0035278031879105607,-0.00013670688998671527,-0.03445013627665225,0.4656409165624004,0.7091283186784962
