alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage,mean_return_coverage,paper_turnover,cents_per_share
alpha056,883,0.023843201530902178,0.04279730677607681,0.5571192050858268,-0.05904667247660533,0.00229367364997791,0.4558434872885217,0.0061356722684583875,1.0332789547873886,0.6980871055623261,0.9819382134387653,0.999997737004995,1.4014630744082626,0.29032865138554437
alpha057,883,0.04491877509356816,0.05013586824861682,0.8959409034430637,-0.04070755788767988,0.0016706406180894537,0.5089851631112625,0.008967328432844634,1.34034408662064,0.6928523475060178,0.9990783424999031,0.999997736000336,1.3918974638696997,0.6918134174177505
alpha058,883,-0.0021193027038888565,0.019739269585373972,-0.10736479861743098,-0.03900575271748097,-0.0013627137724081795,-0.5740518323496232,0.0001717967181177568,0.06354022053245945,0.4403410806313405,0.9996419045031806,0.999997737004995,0.8900181382661244,-0.035920040149932116
alpha059,883,0.0016165298736729406,0.01884963666725772,0.08575920598410752,-0.04527194368497678,0.00017285744936004806,0.07632233059037173,0.001845523167480955,0.76392076565166,0.3389556748696891,0.9992371876860915,0.999997737004995,0.6885117370586485,0.03525966556657659
alpha060,883,0.007490330018348672,0.04878499136637286,0.15353759032356215,-0.056830011260171176,-0.0017896217865176667,-0.3245172457732189,0.0037803784267066063,0.605329861185731,0.6886612773766511,0.999382514916298,0.9999992449981124,1.3837344931838953,0.07309281472355408
alpha061,883,0.015192301481785889,0.026104094171147656,0.5819892229234157,-0.02536733090994503,0.0015800624821898728,0.37409240424391405,-0.0010030751953596247,-0.20373669231206173,0.11713843353206091,0.993866982585849,0.999997729443188,0.24793282211268589,1.0302575825066496
alpha062,883,0.004994374282446118,0.025146625656554487,0.19861011774135712,-0.027378863302761403,-0.0012012763127070213,-0.3222322322899522,0.0008381791743101606,0.19194897112182188,0.2999381839348397,0.9985109200701001,0.9999977354966656,0.6109674463158018,0.1261875639613502
alpha063,883,0.004378618395677208,0.02815515504794565,0.15551746698680302,-0.03648105676641744,0.0010511897856172769,0.3107934023775649,-0.000015759486568947825,-0.004106868777791961,0.186952217616455,0.9925587573884568,0.999997729443188,0.38675452790016684,0.1865754427082412
alpha064,883,0.022475445596665585,0.02884943761954164,0.7790600944484782,-0.023870167356749517,0.003331793184137771,0.724503226438054,0.004356171902624065,0.8038572160322833,0.17003306583535693,0.995406101326725,0.999997732473967,0.35297635063493543,1.1175255066684004
alpha065,883,0.015836623316167482,0.026393959751264212,0.6000093758348989,-0.034831170911031606,0.0018575915148701465,0.45186359974004764,-0.0007620448911853706,-0.15882403401594308,0.20112698704802923,0.9977734917122583,0.9999977344906671,0.41470353228004414,0.6195507330078267
alpha066,883,0.040247503898449354,0.04709803419891151,0.8545474260872553,-0.038867474992839934,0.006477957224624317,1.2206211921872219,0.006569785317272886,1.0836692486724213,0.33869122644524746,0.9681925112821415,1.0,0.6875026924661287,0.9333419024608774
alpha067,883,0.01777901154750446,0.04136094551814933,0.429850220413916,-0.0464295816247714,0.00089916016245399,0.19144509931062992,0.0024189825063087762,0.4286060489531503,0.5807238757079095,0.9992684927156086,0.999997737004995,1.1684151630586876,0.27037541941877086
alpha068,883,0.022051065165281113,0.026011576667573477,0.8477404290825011,-0.030786936822185806,0.0021712614304663586,0.5590355239289432,0.004938778281961278,1.086342953694953,0.3186452931248425,0.9989828706563662,0.9999977354966656,0.6478281448989045,0.5698353875479408
alpha069,883,0.002750631840762163,0.03726749650750842,0.07380779763963977,-0.07439321186405168,-0.0006035668113899497,-0.14547461620396873,-0.0034327503443080934,-0.6522228658746999,0.37268265722013005,0.9990783424999031,0.999997736000336,0.7556182079138442,0.055882384232742714
alpha070,883,0.03495419031079246,0.04754361002045162,0.735202696971399,-0.04968248048961976,0.0030910025224170834,0.5970118030654543,0.007508984212148269,1.2153270125198097,0.5498958185584489,0.9974536880320194,0.9999977339863243,1.1073509150443528,0.5871013042849809
alpha071,883,0.03409054859499852,0.0313812367406408,1.0863354072610207,-0.029266585673233925,0.002444056755954039,0.6153253385502769,0.004755175142064095,0.9901299180194977,0.4203171165445989,0.9929845324158708,0.999997729443188,0.8497512680475393,0.6028584299258201
alpha072,883,-0.005676930736151692,0.026943352698783975,-0.2106987500634213,-0.04805744014334723,0.0007354899992603284,0.44142483698365304,0.0023392283994373682,0.6067031046439576,0.23934818344124137,0.9982864324391632,0.9999977354966656,0.4909305492160191,-0.17565885732528744
alpha073,883,-0.004574204518381176,0.04939112294757483,-0.09261187528042983,-0.11104273088957795,0.0004638084021412231,0.08399480209114438,-0.0036752776840356,-0.561363854806586,0.4589878382422806,0.9994250307930429,0.999997737004995,0.9270551565441597,-0.07432487358338653
alpha074,883,0.0016958191101788401,0.017684156212487152,0.09589482753954565,-0.04223519069840864,-0.00020495165136026424,-0.07912176154125619,0.00036853859151802034,0.1273391030735681,0.12326422330680432,0.9975178002570616,0.9999977339863243,0.26022897378966825,0.09778360560010399
alpha075,883,0.00051130612660832,0.019299604791446594,0.026493087922449383,-0.02620846435275692,0.0006277366551052454,0.232210784316022,0.003712517045307641,1.2236177636496268,0.24277847731838084,0.9981261149918108,0.9999977354966656,0.4974346211333459,0.015503002589876082
alpha076,883,0.0098442167951881,0.033639888292572945,0.29263524033049537,-0.05653628057607751,0.0028397324902338407,0.6257181280701165,0.002243161777609369,0.45920437589886176,0.2200351549613022,0.9955965084378157,0.9999977329789835,0.4532267064633442,0.33821447655459297
alpha077,883,0.016828243052368394,0.03685425455474126,0.45661602047526584,-0.0477390481476766,0.0011595151823273122,0.2654215783051412,-0.0020545807412158104,-0.39359135183899996,0.3074915994812039,0.9986071457833795,0.9999977354966656,0.6259621185042197,0.42475956524614694
alpha078,883,0.003379551199472838,0.027231629354679963,0.12410389240598403,-0.04925489038859654,-0.00019988357884734797,-0.06354867699153946,0.0008446984122346695,0.2349982996112949,0.3095723796763859,0.998061994291182,0.9999977354966656,0.6300302849887425,0.08148120324092377
alpha079,883,0.027975986002103916,0.023914404163740348,1.1698383037500826,-0.01744300029327206,0.003429333953558531,1.0011196327811531,0.005116263398408688,1.300941027065267,0.29825299290199814,0.9946256856166644,0.999997732473967,0.6074406757916423,0.7490022935351529
alpha080,883,-0.0013185624158315395,0.027470887300682353,-0.0479985375572047,-0.06285622673906,-0.0001285170003876269,-0.04137817946201875,-0.0032455121769836615,-0.9135092482781718,0.5143341561935433,0.9994876533113146,0.999997737004995,1.0363145619138117,-0.019381232590449677
alpha081,883,-0.0050273961340780975,0.017916874812173224,-0.28059559419717245,-0.036740677616858286,-0.0008610891833351374,-0.32848146859268135,0.00047577701723765914,0.1614210906083401,0.19525492985929435,0.9975819166270249,0.9999977339863243,0.4029721220184141,-0.1906758140684862
alpha082,883,0.039529123315680155,0.03871057343893988,1.021145382359975,-0.03570935092410099,0.005825791980625752,1.2106090069791517,0.0047886716357545215,0.8917282106195634,0.24078849757485168,0.9989828706563662,0.9999977354966656,0.4941596301618728,1.3831116885289532
